transfer_type,from,to,value,symbol,tx_hash,len
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xc36d8dcf0e7ad78c410ee9fcd2bdf13d2bf66d0d,72.0,USDT,0x305360df65abb239cbc37890c9046d94a100ca5ac1038d867aca3af18802d083,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xc83529080ff2ed84587e19de572203c4159066ad,143.5,USDT,0x23c81b47ffd38150be618fdbfbf0aa78ee7a0334d1944d6cb923d320a0b6fa5d,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x6ee79068e5c27112ae8cbd48cb94d3a1fab4ec8c,2100.0,USDT,0x89b5f86e5f41c15b3cdef16f4e2a80761ce8d24663bfdb25aab3116ad22f33ea,22
IN,0x4cd4f0d7ae8d3828768f44c1f92e66f32cde7bcc,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,1478.1,USDT,0x0f6426b1f7437bd13ee60e816b985e57133d35c6f706645e912d66a6caadbba6,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xcb2ca48ea1762d59e2347f904de8b3998ba11945,100.0,USDT,0xbd3200f6ba0e19cf25f4961d17e881be2c8f611dc4067b0748dbf22e09c22b92,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x785da2926c1316ed3df81eade9f17371c36f73fd,700.0,USDT,0x8c6620e5ce0dd27f22a1f4903ad76ceb781b3eff2ca3f2871801e2e65eeb1914,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x631f856086d1c9d0d28524f023e525999a8e98f1,4000.0,USDT,0x59294b8f45968110035ab5db37a0f24a7c81255ce835c2c8ecd131bc46f75e3b,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x631f856086d1c9d0d28524f023e525999a8e98f1,3500.0,USDT,0x9c00b42fbe64a6516d613170dbede9102e4982a03dd77fed1fc45bc68683715f,22
IN,0x25d80f6bca3050b5b125016eda1eb01779b65506,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,6916.5,USDT,0xfad08ca4f0dae017f67d2885c73c291396253ca40568480bed2406807926a489,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x527b15771d1df7bb8a0306921b9a6f976514f1b7,100.0,USDT,0xfd5c87a9dec7ce0616fdb690c0f41c1180ce2bb61625f06d543df4d29cc8670c,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xaa429970acfb9adac26d68794c1da804e8adfc67,300.0,USDT,0x142b198e15a75b98678d4416a67f9d3ed8da1495733cde0c6b34efac8a1bff30,21
IN,0xcc8861b9211df8e421de275001e09629e1a2e5fc,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,210.0,USDT,0xea4f89a48b7e87db673dd4441f49061a0b288168b5c158d552c70a538fc69b8c,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xa48cc6789462d93231579bf2460448f8bc5d24b1,100.0,USDT,0x8de50ffd46dae68699454de40289bb895b8c4c684accc095cb9d7a604910506e,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x577f5c9e005e1307ab1b8d22b717257f9fa8e2ca,50.0,USDT,0xf3a98ddc4109abfc4bdfdc39b3c8cf423270e0620c0cdf57275d5f91d8149dcc,20
IN,0x541168bbc3e439a68e448339cb9a7e3e25078fed,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,70.0,USDT,0xe3583f12b9fd4991cf3a6bfddd8673ad24fdaec6cdedfba546fa85947b4c7d18,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x1ae1d599c556c087eb6348c12d9cd114868f6e34,112.0,USDT,0x29406b97bf3218e17648ea839926813a63e25ccfd779af6aceed4d4e585692c2,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xcee7f219439f511e145398c2e83b4d3403a71b34,431.0,USDT,0xf539d61d734c4091365bc5ed6b4ef8230bb33a54ee2a9c565efed14842f404d4,21
IN,0xafebf7f7e90572bfb5d5a66d4ed3a05d938bbb91,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,85.0,USDT,0xe4fc6bf904cb75dbc84987dbc9cc69c26504c8e8ca5ccc8b75e5a2c33fe2263d,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,349.61188393,USDT,0x94df58a02f18f1e2a81fde0d57fc9c92bed4927b47f08faad8ff27f1607c25ce,21
