from,to,value,count
0x6d6565176ef8b5536a6908a55e240f8c1503c1d8,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,15149.0,9
0x1b64fc01982643a0c6af5dce7a2f7901bceded84,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,15147.0,13
0x89af9242ebc9cd3bc8393b2cb1ffd6f03d4e6307,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,15111.0,2
0xc8aa90fbebd28b04b2673f5f3d0a827748e12c72,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,15000.0,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x631f856086d1c9d0d28524f023e525999a8e98f1,14900.0,4
0x332abc1c789c8c6135dbd37b0d8b338e639f7ca4,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,14703.0,23
0xfde9c768831fa29c6e764723d4cb059c9e8dc40b,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,14395.0,3
0xa970329b81c9b62379d62361523cf5a24ae71b8c,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,14109.58698429,9
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x82a4bdd91d3dcc1e3eed8a4f9a1f70d34140fedc,14058.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x8263c40c0e549b6255a2c5c94a85c2a34b53615d,13987.0,8
0x821fc36d1e618e43de82206c68c693b6e99942c4,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,13945.7,13
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xc49bebe6673f874baac64864f69b6d490e5e6e8f,13895.5,24
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xb7a0c7e95979cc46c289b61a1d4ce33e90eecc90,13827.5,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xde03a8d853c467ce17f4148859b55ad9f351093b,13818.088,16
0xe425d667da55a0cf6caa7bedf253d2ce671d4b58,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,13783.8,4
0x4f42e4527ac27fd2e6888e5ceb4fad302d4c7e5c,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,13753.0,7
0x9c6f6845c571732c5c30cbeb59e3536dd4814e49,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,13677.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x541b11a1fbd4640c1c0852735d259f68d876a3b9,13300.0,10
0x6aa0b0d24760d60e58ede9c53023a306b472084c,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,13082.1,23
0x408842c6e2a42b76d2d1272b7268f76e5d258e69,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,13058.4,6
0xb4295043242b3893de2477e59200ba62f1e884c6,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,12936.6,12
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x797495fa418d5a762048a423144c5d3c05fc42d7,12860.5,7
0x18359415ba5e4446ae15b835c1992418e963f09c,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,12828.4,9
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x068eb11152a239775febd962c0c09b123853c1d1,12630.94,16
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x3761bbea8e5757aca19e9d502c00fe94b93b9dc6,12563.3,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe65d13e6f10a24e32767ff293212402afb9ee4a0,12436.7,6
0x0dbdc967d45516048d0e1590a1528a0b4d7bc762,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,12407.0,22
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xafe2d98960232f7de0bca18310fb72699c89a649,12350.0,10
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x1b64fc01982643a0c6af5dce7a2f7901bceded84,12000.0,8
0xecd6ddc7896b14e2e1690cd328aed3bcf3548c25,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11997.5,8
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xacffa40b2d3f61f44a92d42bd0475075ae021e82,11989.800000000001,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe2ce211040f47fcacbd2f46e6c9c77d3869ec56a,11981.8,2
0x4c4889d6403f36afa4be255b23744653abb46bb1,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11777.1,3
0x22c42d14c398687b1364e8d1f4b75c95bcd72c44,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11689.82334643,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xf10b04b3be24143ee0c530d1ba73720d167d8dea,11601.619999999999,6
0xb2260c1cecede5b86f079e06c83011da76983aa8,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11563.123992,2
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xb6e001d54654392b99f1ac0e1f6011bd2136e45d,11475.73,13
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x4cc8946473bf3694922861b5dcd2e02c5acecd5b,11464.4,7
0xb0218f0e6d6abff31b998680cd7e144f7cab7d3b,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11372.0,5
0xf1bec13865c6c0b69a633de7a34c2b4e71827450,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11340.5,15
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x2d078157286fe066032f291a1335faf7947127bd,11274.9,12
0xbcc7f2167f00dad18784d46ab80f4da740b6f5b4,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11191.64757923,8
0x2470874c5a70e9ca7ec84c5a6190d3b6ea19933a,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,11122.0,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x71b7b1b9c8c0c52cac31cf046ace15fa96f0ea02,11100.0,9
